               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10856,            0.038828,                   0,            0.018158,            0.064516,            0.007915,           0.0021494,             0.11304,            0.031675,                   0,            0.070556,           0.0032716,           0.0032716
                   1,            0.092456,             0.04066,                   0,             0.12449,             0.12903,            0.072279,            0.011651,              0.1092,            0.028848,                   0,             0.04049,           0.0065395,           0.0065395
                   2,            0.092117,            0.034555,                   0,            0.020189,              0.1828,            0.022313,           0.0045266,             0.10848,            0.021705,                   0,            0.010359,           0.0097415,           0.0097415
                   3,             0.10055,            0.027851,                   0,            0.093134,             0.55914,            0.093641,            0.022614,             0.10935,            0.015363,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.095712,             0.02429,                   0,            0.066856,             0.96774,             0.07403,            0.021899,             0.11696,            0.014647,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.093198,            0.024412,                   0,             0.12322,             0.76344,             0.15935,            0.026789,            0.097723,            0.017708,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.080289,            0.023488,                   0,             0.23934,              0.5914,             0.22651,            0.073473,            0.098573,            0.016186,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.082122,            0.025522,                   0,             0.63161,             0.87097,             0.78148,             0.25533,            0.079162,            0.022391,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.081974,            0.023854,                   0,            0.065909,             0.51613,             0.06004,            0.012466,             0.10257,            0.013198,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.073768,            0.022845,                   0,             0.44787,             0.77419,             0.51551,             0.20214,            0.068791,            0.017277,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.072123,            0.021495,                   0,             0.51491,              0.7957,             0.67107,             0.36438,            0.066683,            0.015671,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.066532,            0.019852,                   0,             0.40232,             0.53763,              0.3654,            0.086292,            0.076936,            0.014344,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.068672,            0.020975,                   0,             0.49745,             0.91535,              0.5197,             0.23485,            0.075164,            0.013439,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.059601,            0.023125,                   0,             0.26094,              0.8808,              0.2588,             0.10475,            0.068095,            0.014233,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.058729,            0.020123,                   0,             0.37294,             0.72043,              0.4639,             0.16594,             0.06848,            0.013093,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.061682,            0.017774,                   0,             0.89758,             0.94241,             0.93488,             0.43593,            0.051927,            0.014072,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.054329,            0.019103,                   0,             0.45771,              0.9348,             0.49185,             0.14892,            0.062393,            0.013697,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.049123,            0.018547,                   0,             0.46807,             0.92727,             0.52234,             0.31589,             0.05706,            0.012383,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.051402,            0.017764,                   0,             0.68988,             0.86022,              0.8489,             0.40005,            0.049947,            0.012286,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.044659,            0.017778,                   0,             0.86071,             0.89247,             0.95908,             0.37086,             0.04921,             0.01228,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.048416,            0.018121,                   0,             0.69975,             0.88172,             0.83318,             0.55519,            0.048267,             0.01186,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.050262,            0.016331,                   0,             0.98567,                   1,             0.99489,             0.47186,             0.05139,            0.011309,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.043148,            0.018496,                   0,             0.73476,             0.93548,              0.8864,             0.58856,             0.04603,            0.011701,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.044941,            0.016379,                   0,             0.80788,             0.95699,             0.92987,             0.61705,            0.045262,            0.011321,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.041545,            0.016824,                   0,             0.99812,                   1,               0.995,             0.63058,            0.039264,            0.011082,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.043401,            0.015473,                   0,             0.33041,             0.98162,             0.44945,             0.16062,             0.05241,            0.011729,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.040218,            0.016575,                   0,             0.84815,             0.93548,             0.93852,             0.39458,            0.042151,            0.011113,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.040798,             0.01614,                   0,             0.99864,                   1,               0.995,             0.59136,            0.035595,            0.010668,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.039867,            0.015961,                   0,             0.81145,             0.94624,             0.91669,             0.36491,            0.048626,            0.011087,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.036801,            0.015168,                   0,             0.81815,             0.96774,              0.8988,             0.30338,            0.041779,            0.010858,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.039472,            0.013998,                   0,             0.95746,                   1,             0.99415,             0.61155,            0.039694,            0.010641,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.037796,             0.01382,                   0,             0.99854,                   1,               0.995,              0.6299,            0.033063,            0.010299,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.030865,            0.014203,                   0,             0.99871,                   1,               0.995,             0.43715,            0.035764,            0.010825,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.038436,            0.015326,                   0,             0.99882,                   1,               0.995,             0.60164,            0.031343,            0.010324,                   0,            0.006832,            0.006832,            0.006832
